datetime,open,high,low,close,volume,order_type,side,open_price,cost,from_position,profit,return_rate,size
2020-03-02 09:00:00,78.2,79.7,78.1,79.2,24487,,,,,,,,
2020-03-02 10:00:00,79.1,80.3,79.0,80.1,7857,,,,,,,,
2020-03-02 11:00:00,80.0,80.1,79.5,79.6,5806,,,,,,,,
2020-03-02 12:00:00,79.6,79.7,79.0,79.2,7678,,,,,,,,
2020-03-02 13:00:00,79.2,79.3,79.0,79.2,7739,,,,,,,,
2020-03-03 09:00:00,81.1,81.2,80.6,80.9,12754,,,,,,,,
2020-03-03 10:00:00,80.8,81.8,80.8,81.6,7992,,,,,,,,
2020-03-03 11:00:00,81.7,82.0,81.5,81.8,5016,,,,,,,,
2020-03-03 12:00:00,81.8,81.8,81.1,81.4,3811,,,,,,,,
2020-03-03 13:00:00,81.4,81.4,81.0,81.0,5085,,,,,,,,
2020-03-04 09:00:00,81.5,81.9,81.1,81.3,11544,,,,,,,,
2020-03-04 10:00:00,81.4,81.7,81.2,81.5,3777,,,,,,,,
2020-03-04 11:00:00,81.4,81.8,81.4,81.5,3754,,,,,,,,
2020-03-04 12:00:00,81.5,81.7,81.5,81.6,2814,,,,,,,,
2020-03-04 13:00:00,81.6,81.7,81.3,81.7,6870,,,,,,,,
2020-03-05 09:00:00,83.3,83.6,82.8,83.0,20640,,,,,,,,
2020-03-05 10:00:00,83.0,83.1,82.9,83.0,4111,,,,,,,,
2020-03-05 11:00:00,83.0,83.0,82.7,82.8,3003,,,,,,,,
2020-03-05 12:00:00,82.9,82.9,82.6,82.7,3312,,,,,,,,
2020-03-05 13:00:00,82.7,82.8,82.6,82.7,5726,,,,,,,,
2020-03-06 09:00:00,81.6,81.7,81.0,81.1,13570,,,,,,,,
2020-03-06 10:00:00,81.1,81.2,80.7,81.0,9029,,,,,,,,
2020-03-06 11:00:00,81.1,81.1,80.8,80.9,4874,,,,,,,,
2020-03-06 12:00:00,80.9,81.0,80.8,80.9,3782,,,,,,,,
2020-03-06 13:00:00,80.8,81.0,80.8,80.8,7220,,,,,,,,
2020-03-09 09:00:00,79.2,80.1,79.1,79.2,20559,,,,,,,,
2020-03-09 10:00:00,79.2,79.6,79.1,79.6,8086,,,,,,,,
2020-03-09 11:00:00,79.6,79.9,79.5,79.7,3286,,,,,,,,
2020-03-09 12:00:00,79.7,79.7,79.3,79.4,4818,,,,,,,,
2020-03-09 13:00:00,79.4,79.5,79.1,79.1,11867,,,,,,,,
2020-03-10 09:00:00,78.5,79.6,78.5,78.7,17111,,,,,,,,
2020-03-10 10:00:00,78.7,79.0,78.6,79.0,5234,,,,,,,,
2020-03-10 11:00:00,79.0,79.8,78.9,79.6,5499,,,,,,,,
2020-03-10 12:00:00,79.6,79.6,79.0,79.2,3635,,,,,,,,
2020-03-10 13:00:00,79.2,79.7,79.1,79.4,8747,,,,,,,,
2020-03-11 09:00:00,79.3,80.1,79.1,79.4,11298,,,,,,,,
2020-03-11 10:00:00,79.3,79.6,79.2,79.6,1915,,,,,,,,
2020-03-11 11:00:00,79.6,79.6,79.1,79.3,2982,,,,,,,,
2020-03-11 12:00:00,79.3,79.4,79.0,79.0,3277,,,,,,,,
2020-03-11 13:00:00,79.0,79.1,78.6,78.6,14629,,,,,,,,
2020-03-12 09:00:00,77.4,77.5,75.0,75.1,31539,,,,,,,,
2020-03-12 10:00:00,75.1,75.9,74.5,75.0,19473,,,,,,,,
2020-03-12 11:00:00,75.1,75.4,74.8,74.9,11545,,,,,,,,
2020-03-12 12:00:00,74.9,75.8,74.6,75.3,8310,,,,,,,,
2020-03-12 13:00:00,75.2,75.3,74.7,74.7,15607,,,,,,,,
2020-03-13 09:00:00,70.0,71.4,69.9,71.0,47388,,,,,,,,
2020-03-13 10:00:00,71.0,72.6,70.6,72.3,17568,,,,,,,,
2020-03-13 11:00:00,72.3,72.3,71.0,71.5,13464,,,,,,,,
2020-03-13 12:00:00,71.5,73.0,71.4,72.9,12444,,,,,,,,
2020-03-13 13:00:00,72.9,75.0,72.9,74.6,21569,,,,,,,,
2020-03-16 09:00:00,73.9,74.3,72.2,72.3,22941,,,,,,,,
2020-03-16 10:00:00,72.3,72.9,72.2,72.9,7796,,,,,,,,
2020-03-16 11:00:00,72.9,73.0,72.3,72.7,6313,,,,,,,,
2020-03-16 12:00:00,72.7,72.7,71.1,71.1,12708,,,,,,,,
2020-03-16 13:00:00,71.2,72.0,71.1,71.1,19984,,,,,,,,
2020-03-17 09:00:00,70.1,72.8,70.0,71.0,28979,,,,,,,,
2020-03-17 10:00:00,71.1,71.4,70.5,71.0,10083,,,,,,,,
2020-03-17 11:00:00,71.0,71.4,70.5,71.2,7713,,,,,,,,
2020-03-17 12:00:00,71.2,71.6,70.8,71.3,7491,,,,,,,,
2020-03-17 13:00:00,71.3,71.4,70.6,70.6,23689,,,,,,,,
2020-03-18 09:00:00,70.7,71.3,70.2,70.8,21701,,,,,,,,
2020-03-18 10:00:00,70.8,71.0,70.3,70.9,11632,,,,,,,,
2020-03-18 11:00:00,70.9,71.2,70.6,70.6,9707,,,,,,,,
2020-03-18 12:00:00,70.6,70.7,70.0,70.2,15082,,,,,,,,
2020-03-18 13:00:00,70.2,70.6,70.0,70.0,30878,,,,,,,,
2020-03-19 09:00:00,68.7,69.3,68.1,68.5,31677,,,,,,,,
2020-03-19 10:00:00,68.5,68.6,67.0,67.0,27154,,,,,,,,
2020-03-19 11:00:00,67.0,68.2,65.7,66.5,21941,,,,,,,,
2020-03-19 12:00:00,66.5,67.3,66.3,66.7,10891,,,,,,,,
2020-03-19 13:00:00,66.7,67.2,66.3,66.3,21055,,,,,,,,
2020-03-20 09:00:00,68.0,69.6,68.0,69.3,28941,,,,,,,,
2020-03-20 10:00:00,69.3,71.4,69.3,70.0,21530,,,,,,,,
2020-03-20 11:00:00,70.1,70.8,70.0,70.5,10016,,,,,,,,
2020-03-20 12:00:00,70.5,70.9,70.2,70.4,12695,,,,,,,,
2020-03-20 13:00:00,70.4,70.8,69.5,70.8,42773,,,,,,,,
2020-03-23 09:00:00,67.5,68.4,67.0,68.2,43092,,,,,,,,
2020-03-23 10:00:00,68.2,68.2,67.6,68.0,21436,,,,,,,,
2020-03-23 11:00:00,68.0,68.3,67.9,68.0,14050,,,,,,,,
2020-03-23 12:00:00,68.0,68.1,67.6,67.9,19600,,,,,,,,
2020-03-23 13:00:00,68.0,68.1,67.5,67.5,23114,,,,,,,,
2020-03-24 09:00:00,70.6,70.7,69.8,70.3,16838,,,,,,,,
2020-03-24 10:00:00,70.4,70.4,70.1,70.3,5800,,,,,,,,
2020-03-24 11:00:00,70.3,70.4,69.4,69.5,5573,,,,,,,,
2020-03-24 12:00:00,69.5,69.8,69.1,69.8,4352,,,,,,,,
