ticker,order_id,order_type,current_step,side,price,size,cost,from_position,profit,return_rate
BTCUSDT,1714131897,open,73,long,4800,10.4167,50000.1600,-1,0,0
BTCUSDT,1714131905,close,81,short,5385.8699999999998908606357872486114501953125,10.4167,56102.99202899999886312798481,1714131897,6102.832028999998863127984805,0.1220562499999999772626324557
BTCUSDT,1714133305,open,1468,long,8559.100000000000363797880709171295166015625,6.1982,53051.01362000000225489202421,-1,0,0
BTCUSDT,1714133328,close,1491,short,8696.639999999999417923390865325927734375,6.1982,53903.51404799999639217276126,1714133305,852.5004279999941372807370502,0.01606944655396000143466948110
BTCUSDT,1714135210,open,3356,long,11029.9599999999991268850862979888916015625,4.8484,53477.65806399999576678965241,-1,0,0
BTCUSDT,1714135215,close,3361,short,11044.97999999999956344254314899444580078125,4.8484,53550.48103199999788339482620,1714135210,72.82296800000211660517379644,0.001361745645496487543600999710
BTCUSDT,1714137293,open,5420,long,12780.9599999999991268850862979888916015625,4.1870,53513.87951999999634426785633,-1,0,0
BTCUSDT,1714137295,close,5422,short,12847.899999999999636202119290828704833984375,4.1870,53794.15729999999847677827347,1714137293,280.2777800000021325104171410,0.005237478248895271864551126217
BTCUSDT,1714139120,open,7230,long,32099.97999999999956344254314899444580078125,1.6715,53655.11656999999927029421087,-1,0,0
BTCUSDT,1714139131,close,7241,short,33873.300000000002910383045673370361328125,1.6715,56619.22095000000486470526084,1714139120,2964.104380000005594411049969,0.05524364812688367316918979568
BTCUSDT,1714139322,open,7430,long,37371.379999999990104697644710540771484375,1.4754,55137.73405199998540047090501,-1,0,0
BTCUSDT,1714139323,close,7431,short,37762.759999999994761310517787933349609375,1.4754,55715.17610399999227083753794,1714139322,577.4420520000068703666329384,0.01047272003335185268094473069
BTCUSDT,1714139942,open,8044,long,42897.119999999995343387126922607421875,1.2920,55423.07903999999398365616798,-1,0,0
BTCUSDT,1714139944,close,8046,short,43716.319999999992433004081249237060546875,1.2920,56481.48543999999022344127297,1714139942,1058.406399999996239785104990,0.01909685312207432989775552322
BTCUSDT,1714140631,open,8727,long,53592.6999999999898136593401432037353515625,1.0441,55956.13806999998936444171704,-1,0,0
BTCUSDT,1714140655,close,8751,short,53936.4400000000023283064365386962890625,1.0441,56315.03700400000243098475039,1714140631,358.8989340000130665430333465,0.006413933240908044938613008058
BTCUSDT,1714143566,open,11635,long,32696.4400000000023283064365386962890625,1.7168,56133.24819200000399723649025,-1,0,0
BTCUSDT,1714143574,close,11643,short,33003.5199999999967985786497592926025390625,1.7168,56660.44313599999450379982591,1714143566,527.1949439999905065633356571,0.009391848164509483246650482076
BTCUSDT,1714143668,open,11736,long,33151.3199999999997089616954326629638671875,1.7012,56397.02558399999950488563627,-1,0,0
BTCUSDT,1714143714,close,11782,short,32863.0699999999997089616954326629638671875,1.7012,55906.65468399999950488563627,1714143668,-490.3709000000000000000000000,-0.008694978058188934936243011509
BTCUSDT,1714143739,open,11807,long,31677.00999999999839928932487964630126953125,1.7726,56150.66792599999716258025728,-1,0,0
BTCUSDT,1714143743,close,11811,short,31533.61999999999898136593401432037353515625,1.7726,55896.49481199999819436925463,1714143739,-254.1731139999989682110026478,-0.004526626723923736020830582955
BTCUSDT,1714143797,open,11864,long,31975.13000000000101863406598567962646484375,1.7521,56023.62527300000178474874701,-1,0,0
BTCUSDT,1714143801,close,11868,short,32077.25,1.7521,56202.549725,1714143797,178.9244519999982152512529865,0.003193732128688733340964983424
