ticker,order_id,order_type,current_step,side,price,size,cost,from_position,profit,return_rate
ETHUSDT,1714255204,open,246,long,136.81000000000000227373675443232059478759765625,365.4704,50000.00542400000083098348114,-1,0,0
ETHUSDT,1714255206,close,248,short,137.590000000000003410605131648480892181396484375,365.4704,50285.07233600000124647522171,1714255204,285.0669120000004154917405686,0.005701337621518903032709862706
ETHUSDT,1714255227,open,269,long,134.340000000000003410605131648480892181396484375,373.2510,50142.53934000000127301177599,-1,0,0
ETHUSDT,1714255235,close,276,short,128.210000000000007958078640513122081756591796875,373.2510,47854.51071000000297036081065,1714255227,-2288.028629999998302650965343,-0.04563048980199490320752499969
ETHUSDT,1714255533,open,572,long,140.44999999999998863131622783839702606201171875,348.8681,48998.52464499999603382889291,-1,0,0
ETHUSDT,1714255622,close,660,short,153.030000000000001136868377216160297393798828125,348.8681,53387.28534300000039661711071,1714255533,4388.760698000004362788217805,0.08956924172303320415689949619
ETHUSDT,1714255878,open,914,long,171.44999999999998863131622783839702606201171875,298.5879,51192.89545499999660544858671,-1,0,0
ETHUSDT,1714255918,close,953,short,184.5,298.5879,55089.46755,1714255878,3896.572095000003394551413293,0.07611548556430453329843486558
ETHUSDT,1714256039,open,1073,long,189.25,280.7989,53141.191825,-1,0,0
ETHUSDT,1714256040,close,1074,short,187.530000000000001136868377216160297393798828125,280.7989,52658.21771700000031923138977,1714256039,-482.9741079999996807686102330,-0.009088507265521790558159169269
ETHUSDT,1714256441,open,1471,long,190.729999999999989768184605054557323455810546875,277.3538,52899.69027399999716216711931,-1,0,0
ETHUSDT,1714257132,close,2156,short,242.3899999999999863575794734060764312744140625,277.3538,67227.78758199999621622282575,1714256441,14328.09730799999905405570644,0.2708540869291668817738367577
ETHUSDT,1714265201,open,10151,long,3560.92999999999983629095368087291717529296875,16.8674,60063.63068199999723865403212,-1,0,0
ETHUSDT,1714265202,close,10152,short,3546.44000000000005456968210637569427490234375,16.8674,59819.22205600000092044865596,1714265201,-244.4086259999963182053761557,-0.004069161707756058778866800806
ETHUSDT,1714265220,open,10170,long,3535.53000000000020008883439004421234130859375,16.9540,59941.37562000000339230609825,-1,0,0
ETHUSDT,1714265241,close,10191,short,3937.760000000000218278728425502777099609375,16.9540,66760.78304000000370069756173,1714265220,6819.407420000000308391463478,0.1137679499254708616321166965
ETHUSDT,1714267735,open,12663,long,3204.32999999999947249307297170162200927734375,19.7705,63351.20626499998957092429919,-1,0,0
ETHUSDT,1714267742,close,12669,short,3250.8000000000001818989403545856475830078125,19.7705,64269.94140000000359623300028,1714267735,918.7351350000140253087010932,0.01450225164074883581151304044
ETHUSDT,1714268053,open,12978,long,3764.42999999999983629095368087291717529296875,16.9509,63810.47648699999722498432675,-1,0,0
ETHUSDT,1714268059,close,12984,short,3807.510000000000218278728425502777099609375,16.9509,64540.72125900000370002089767,1714268053,730.2447720000064750365709187,0.01144396362795971338589245019
ETHUSDT,1714268060,open,12985,long,3829.38999999999987267074175179004669189453125,16.7587,64175.59819299999786612715980,-1,0,0
ETHUSDT,1714268074,close,12998,short,3950.41000000000030922819860279560089111328125,16.7587,66203.73606700000518226261192,1714268060,2028.137874000007316135452129,0.03160294459430886918841808869
ETHUSDT,1714268354,open,13276,long,3402.40999999999985448084771633148193359375,19.1599,65189.83535899999721186759416,-1,0,0
ETHUSDT,1714268356,close,13278,short,3415.40999999999939973349682986736297607421875,19.1599,65438.91405899998849895382591,1714268354,249.0786999999912870862317505,0.003820821123850313691957102321
ETHUSDT,1714268846,open,13763,long,3450.46999999999979991116560995578765869140625,18.9291,65314.29167699999621249844495,-1,0,0
ETHUSDT,1714268849,close,13766,short,3453.80999999999994543031789362430572509765625,18.9291,65377.51487099999896704503044,1714268846,63.22319400000275454658549280,0.0009679840717351971507751373843
ETHUSDT,1714268851,open,13768,long,3431.00999999999976353137753903865814208984375,19.0457,65345.98715699999549628955720,-1,0,0
ETHUSDT,1714268858,close,13775,short,3536.48000000000001818989403545856475830078125,19.0457,67354.73713600000034643926483,1714268851,2008.749979000004850149707635,0.03074021935231907278836663862
ETHUSDT,1714268893,open,13810,long,3588.82000000000016370904631912708282470703125,18.4881,66350.46304200000302666921925,-1,0,0
