ticker,order_id,order_type,current_step,side,price,size,cost,from_position,profit,return_rate
2412,1713840097,open,64,long,109.0000000000000142108547152020037174224853515625,458,49922.00000000000650857145956,-1,0,0
2412,1713840104,close,71,short,109.0000000000000142108547152020037174224853515625,458,49922.00000000000650857145956,1713840097,0E-46,0E-23
2412,1713840179,open,146,long,110,454,49940,-1,0,0
2412,1713840180,close,147,short,110,454,49940,1713840179,0,0
2412,1713840242,open,208,long,111,450,49950,-1,0,0
2412,1713840247,close,213,short,112,450,50400,1713840242,450,0.009009009009009009009009009009
2412,1713840312,open,278,long,113.4999999999999857891452847979962825775146484375,442,50166.99999999999371880221588,-1,0,0
2412,1713840313,close,279,short,113.4999999999999857891452847979962825775146484375,442,50166.99999999999371880221588,1713840312,0E-46,0E-23
2412,1713840783,open,747,long,109.5,458,50151.0,-1,0,0
2412,1713840784,close,748,short,109.5,458,50151.0,1713840783,0.0,0
2412,1713840947,open,910,long,109.5,458,50151.0,-1,0,0
2412,1713840948,close,911,short,110,458,50380,1713840947,229.0,0.004566210045662100456621004566
2412,1713841116,open,1078,long,109.0000000000000142108547152020037174224853515625,461,50249.00000000000655120402371,-1,0,0
2412,1713841119,close,1081,short,109.0000000000000142108547152020037174224853515625,461,50249.00000000000655120402371,1713841116,0E-46,0E-23
2412,1713841170,open,1132,long,109.5,459,50260.5,-1,0,0
2412,1713841173,close,1135,short,110,459,50490,1713841170,229.5,0.004566210045662100456621004566
2412,1713841187,open,1149,long,110.5,456,50388.0,-1,0,0
2412,1713841190,close,1152,short,110.5,456,50388.0,1713841187,0.0,0
2412,1713841249,open,1211,long,111,454,50394,-1,0,0
2412,1713841252,close,1214,short,111.5,454,50621.0,1713841249,227.0,0.004504504504504504504504504505
2412,1713841346,open,1307,long,113.9999999999999857891452847979962825775146484375,443,50501.99999999999370459136117,-1,0,0
2412,1713841347,close,1308,short,113.9999999999999857891452847979962825775146484375,443,50501.99999999999370459136117,1713841346,0E-46,0E-23
2412,1713841389,open,1350,long,113.4999999999999857891452847979962825775146484375,445,50507.49999999999367616965174,-1,0,0
2412,1713841392,close,1353,short,113.9999999999999857891452847979962825775146484375,445,50729.99999999999367616965174,1713841389,222.5000000000000000000000000,0.004405286343612335353329376281
2412,1713841418,open,1379,long,113,448,50624,-1,0,0
2412,1713841419,close,1380,short,113.4999999999999857891452847979962825775146484375,448,50847.99999999999363353708759,1713841418,223.9999999999936335370875895,0.004424778761061821142878626531
2412,1713841481,open,1442,long,113.9999999999999857891452847979962825775146484375,445,50729.99999999999367616965174,-1,0,0
2412,1713841489,close,1450,short,113.4999999999999857891452847979962825775146484375,445,50507.49999999999367616965174,1713841481,-222.5000000000000000000000000,-0.004385964912280702301125527670
2412,1713841538,open,1498,long,113.9999999999999857891452847979962825775146484375,444,50615.99999999999369038050645,-1,0,0
2412,1713841541,close,1501,short,114.5000000000000142108547152020037174224853515625,444,50838.00000000000630961949355,1713841538,222.0000000000126192389870994,0.004385964912280951614366145250
2412,1713841582,open,1542,long,113.9999999999999857891452847979962825775146484375,445,50729.99999999999367616965174,-1,0,0
2412,1713841584,close,1544,short,113.9999999999999857891452847979962825775146484375,445,50729.99999999999367616965174,1713841582,0E-46,0E-23
2412,1713841662,open,1622,long,115,441,50715,-1,0,0
2412,1713841664,close,1624,short,115.5,441,50935.5,1713841662,220.5,0.004347826086956521739130434783
2412,1713841685,open,1645,long,116,438,50808,-1,0,0
2412,1713841687,close,1647,short,116.5,438,51027.0,1713841685,219.0,0.004310344827586206896551724138
2412,1713841694,open,1654,long,116.5,437,50910.5,-1,0,0
2412,1713841718,close,1677,short,118,437,51566,1713841694,655.5,0.01287553648068669527896995708
2412,1713841735,open,1694,long,117,438,51246,-1,0,0
2412,1713841740,close,1699,short,117.5,438,51465.0,1713841735,219.0,0.004273504273504273504273504274
2412,1713841746,open,1705,long,117,439,51363,-1,0,0
2412,1713841768,close,1727,short,115.5,439,50704.5,1713841746,-658.5,-0.01282051282051282051282051282
2412,1713841789,open,1748,long,111.5,458,51067.0,-1,0,0
2412,1713841790,close,1749,short,112,458,51296,1713841789,229.0,0.004484304932735426008968609865
2412,1713841834,open,1793,long,111,461,51171,-1,0,0
2412,1713841835,close,1794,short,111,461,51171,1713841834,0,0
2412,1713841895,open,1854,long,110.5,463,51161.5,-1,0,0
2412,1713841903,close,1862,short,111,463,51393,1713841895,231.5,0.004524886877828054298642533937
2412,1713841912,open,1871,long,111,462,51282,-1,0,0
2412,1713841921,close,1880,short,112,462,51744,1713841912,462,0.009009009009009009009009009009
2412,1713842009,open,1967,long,110.5,466,51493.0,-1,0,0
2412,1713842010,close,1968,short,110.5,466,51493.0,1713842009,0.0,0
2412,1713842125,open,2083,long,113.9999999999999857891452847979962825775146484375,452,51527.99999999999357669366873,-1,0,0
2412,1713842126,close,2084,short,113.9999999999999857891452847979962825775146484375,452,51527.99999999999357669366873,1713842125,0E-46,0E-23
2412,1713842135,open,2093,long,113.9999999999999857891452847979962825775146484375,452,51527.99999999999357669366873,-1,0,0
2412,1713842145,close,2102,short,113.9999999999999857891452847979962825775146484375,452,51527.99999999999357669366873,1713842135,0E-46,0E-23
2412,1713842204,open,2161,long,116,444,51504,-1,0,0
2412,1713842208,close,2165,short,116.5,444,51726.0,1713842204,222.0,0.004310344827586206896551724138
2412,1713842214,open,2171,long,116,445,51620,-1,0,0
2412,1713842220,close,2177,short,115.5,445,51397.5,1713842214,-222.5,-0.004310344827586206896551724138
2412,1713842253,open,2210,long,117,440,51480,-1,0,0
2412,1713842279,close,2236,short,116.5,440,51260.0,1713842253,-220.0,-0.004273504273504273504273504274
2412,1713842292,open,2249,long,117,439,51363,-1,0,0
2412,1713842295,close,2252,short,117,439,51363,1713842292,0,0
2412,1713842297,open,2254,long,117,439,51363,-1,0,0
2412,1713842307,close,2264,short,118,439,51802,1713842297,439,0.008547008547008547008547008547
