datetime,unix,open,high,low,close,volume
2020-08-11 14:00:00,1597125600000,2.85,3.47,2.85,2.9515,20032.26
2020-08-11 15:00:00,1597129200000,2.9515,3.1355,2.88,2.9224,42069.37
2020-08-11 16:00:00,1597132800000,2.9626,3.0,2.9144,2.96,24280.76
2020-08-11 17:00:00,1597136400000,2.96,2.9736,2.85,2.8543,26371.23
2020-08-11 18:00:00,1597140000000,2.8566,2.9329,2.8433,2.8976,26685.94
2020-08-11 19:00:00,1597143600000,2.9167,3.1,2.9015,3.0497,12474.53
2020-08-11 20:00:00,1597147200000,3.0497,3.329,3.0488,3.1111,136779.72
2020-08-11 21:00:00,1597150800000,3.111,3.2768,2.8625,3.2768,233029.25
2020-08-11 22:00:00,1597154400000,3.2787,3.5208,3.0744,3.2499,362238.07
2020-08-11 23:00:00,1597158000000,3.2499,3.3926,3.15,3.19,170827.9
2020-08-12 00:00:00,1597161600000,3.1751,3.3595,3.1143,3.2475,105510.39
2020-08-12 01:00:00,1597165200000,3.2475,3.384,3.2475,3.2978,67008.38
2020-08-12 02:00:00,1597168800000,3.3,3.3047,3.21,3.2676,31896.32
2020-08-12 03:00:00,1597172400000,3.2676,3.2754,3.155,3.1886,49635.13
2020-08-12 04:00:00,1597176000000,3.1938,3.203,2.95,3.0774,121302.78
2020-08-12 05:00:00,1597179600000,3.0775,3.2495,3.07,3.2184,44151.99
2020-08-12 06:00:00,1597183200000,3.2128,3.25,3.08,3.2061,34992.96
2020-08-12 07:00:00,1597186800000,3.2037,3.3191,3.2,3.2985,43097.8
2020-08-12 08:00:00,1597190400000,3.2985,3.2985,3.09,3.1127,64788.66
2020-08-12 09:00:00,1597194000000,3.1064,3.32,3.08,3.232,69220.85
2020-08-12 10:00:00,1597197600000,3.2311,3.2575,3.1317,3.1317,36985.7
2020-08-12 11:00:00,1597201200000,3.1317,3.3,3.1129,3.2802,55281.42
2020-08-12 12:00:00,1597204800000,3.2802,3.2953,3.15,3.2611,40644.95
2020-08-12 13:00:00,1597208400000,3.2478,3.2478,3.1769,3.2296,17503.99
2020-08-12 14:00:00,1597212000000,3.2192,3.2641,3.1323,3.2538,69963.6
2020-08-12 15:00:00,1597215600000,3.2538,3.3661,3.2121,3.3661,60332.39
2020-08-12 16:00:00,1597219200000,3.3577,3.52,3.35,3.4503,244976.89
2020-08-12 17:00:00,1597222800000,3.4503,3.7,3.4001,3.6669,173413.69
2020-08-12 18:00:00,1597226400000,3.668,3.9176,3.5015,3.9049,227903.53
2020-08-12 19:00:00,1597230000000,3.9049,3.9289,3.6491,3.6842,148902.61
2020-08-12 20:00:00,1597233600000,3.6733,3.7756,3.653,3.6755,73631.8
2020-08-12 21:00:00,1597237200000,3.676,3.8554,3.6434,3.745,78069.33
2020-08-12 22:00:00,1597240800000,3.7573,3.9,3.746,3.81,73978.36
2020-08-12 23:00:00,1597244400000,3.8272,3.85,3.7,3.7678,41862.48
2020-08-13 00:00:00,1597248000000,3.7704,3.7889,3.65,3.7569,70134.33
2020-08-13 01:00:00,1597251600000,3.7453,3.7678,3.6505,3.7446,43982.51
2020-08-13 02:00:00,1597255200000,3.7195,3.8423,3.6762,3.7018,29376.77
2020-08-13 03:00:00,1597258800000,3.7098,3.7441,3.6,3.6788,30017.89
2020-08-13 04:00:00,1597262400000,3.6788,3.794,3.6652,3.7142,18641.09
2020-08-13 05:00:00,1597266000000,3.7142,3.74,3.7,3.7207,22553.22
2020-08-13 06:00:00,1597269600000,3.7208,3.8225,3.6729,3.693,26479.52
2020-08-13 07:00:00,1597273200000,3.6732,3.7559,3.6732,3.7558,18397.37
2020-08-13 08:00:00,1597276800000,3.75,3.8512,3.7428,3.7703,48211.24
2020-08-13 09:00:00,1597280400000,3.7703,3.8,3.6886,3.7601,39505.23
2020-08-13 10:00:00,1597284000000,3.7729,3.7771,3.5537,3.6457,36648.7
2020-08-13 11:00:00,1597287600000,3.6449,3.8128,3.6228,3.7593,61837.96
2020-08-13 12:00:00,1597291200000,3.7404,3.9364,3.6436,3.6822,122541.59
2020-08-13 13:00:00,1597294800000,3.6865,3.85,3.6243,3.7458,49349.19
2020-08-13 14:00:00,1597298400000,3.7547,3.8997,3.7249,3.8997,34680.5
2020-08-13 15:00:00,1597302000000,3.8914,4.1387,3.878,4.0785,128456.23
2020-08-13 16:00:00,1597305600000,4.0946,4.1222,3.65,3.733,251307.47
2020-08-13 17:00:00,1597309200000,3.73,3.95,3.5003,3.8387,155172.89
2020-08-13 18:00:00,1597312800000,3.8417,3.95,3.798,3.8749,50459.32
2020-08-13 19:00:00,1597316400000,3.8751,3.9999,3.759,3.87,91154.29
2020-08-13 20:00:00,1597320000000,3.87,3.9242,3.8103,3.897,89047.44
2020-08-13 21:00:00,1597323600000,3.8979,3.9764,3.8705,3.9453,51652.58
2020-08-13 22:00:00,1597327200000,3.9734,4.0555,3.8888,3.9416,68663.22
2020-08-13 23:00:00,1597330800000,3.9292,3.96,3.8,3.8065,47636.3
2020-08-14 00:00:00,1597334400000,3.8065,3.9123,3.7698,3.9019,58736.84
2020-08-14 01:00:00,1597338000000,3.9016,3.9645,3.7909,3.8118,45608.65
2020-08-14 02:00:00,1597341600000,3.8225,3.8699,3.79,3.83,23440.51
2020-08-14 03:00:00,1597345200000,3.8201,3.8618,3.8095,3.8566,16313.38
2020-08-14 04:00:00,1597348800000,3.8549,3.87,3.7,3.7,66540.69
2020-08-14 05:00:00,1597352400000,3.7251,3.747,3.6068,3.6356,61287.25
