unix,open,high,low,close,volume
1648656000000,439.0,448.4,438.7,445.5,104729.299
1648659600000,445.5,448.3,444.5,448.2,35419.663
1648663200000,448.2,449.3,444.9,445.3,41814.494
1648666800000,445.2,445.8,441.8,444.8,35564.184
1648670400000,444.8,446.6,444.3,446.2,23738.269
1648674000000,446.2,446.3,441.5,442.6,29578.972
1648677600000,442.7,443.6,441.0,443.1,20493.516
1648681200000,443.1,444.1,441.6,442.1,28447.377
1648684800000,442.1,449.6,440.2,448.3,60609.207
1648688400000,448.2,452.3,447.2,451.2,50410.421
1648692000000,451.2,451.4,445.3,445.9,40321.567
1648695600000,445.9,446.1,444.0,445.0,24346.992
1648699200000,445.0,445.3,441.3,442.9,36286.273
1648702800000,443.0,444.6,441.4,444.1,18408.16
1648706400000,444.2,445.0,443.0,444.7,15285.89
1648710000000,444.7,445.0,443.3,444.9,27673.05
1648713600000,445.0,448.9,444.2,446.6,35672.477
1648717200000,446.6,447.5,444.8,446.8,19732.805
1648720800000,446.7,449.1,446.5,447.9,30385.06
1648724400000,447.9,448.0,443.5,444.9,33488.92
1648728000000,444.9,449.0,444.7,447.9,30327.563
1648731600000,448.0,449.3,442.9,443.2,55435.948
1648735200000,443.2,443.3,430.0,437.8,157006.429
1648738800000,437.8,438.9,433.0,434.2,37124.943
1648742400000,434.2,434.7,424.0,424.4,98990.11
1648746000000,424.4,431.7,423.9,429.1,43380.19
1648749600000,429.1,431.2,425.7,430.2,28796.204
1648753200000,430.3,431.0,426.6,427.1,20903.363
1648756800000,427.2,429.8,425.8,429.3,17585.223
1648760400000,429.3,431.0,428.3,429.4,13094.345
1648764000000,429.5,431.9,428.9,431.5,22314.759
1648767600000,431.5,431.8,425.7,428.9,40344.796
1648771200000,428.9,430.2,425.4,429.1,50172.368
1648774800000,429.1,429.1,421.3,423.0,46963.69
1648778400000,423.0,424.1,412.8,415.8,80521.867
1648782000000,415.7,419.0,414.2,418.9,36896.421
1648785600000,419.0,420.8,418.5,420.0,27546.76
1648789200000,420.0,422.0,419.8,420.5,23751.25
1648792800000,420.6,422.8,419.1,422.5,27943.78
1648796400000,422.5,428.1,422.5,427.7,43250.9
1648800000000,427.7,429.9,426.9,427.6,38238.591
1648803600000,427.6,431.2,427.2,429.5,51888.285
1648807200000,429.5,432.8,428.4,431.9,45336.241
1648810800000,431.9,433.1,430.5,430.8,47325.291
1648814400000,430.9,433.8,427.4,433.1,65325.544
1648818000000,433.2,435.3,431.9,433.2,42354.957
1648821600000,433.1,440.7,433.0,440.2,47815.145
1648825200000,440.2,442.8,438.9,441.3,59578.8
1648828800000,441.3,444.9,440.8,442.2,41691.911
1648832400000,442.3,446.3,441.5,445.3,37024.304
1648836000000,445.3,445.7,443.6,445.0,24910.838
1648839600000,445.0,446.4,444.1,446.3,22024.672
1648843200000,446.4,447.1,442.7,444.6,27413.389
1648846800000,444.7,446.5,443.4,443.9,21369.478
1648850400000,443.9,446.2,443.4,445.2,24043.44
1648854000000,445.1,448.2,443.0,447.7,38434.733
1648857600000,447.8,454.2,440.3,451.7,87194.968
1648861200000,451.7,454.0,449.2,452.5,46782.464
1648864800000,452.5,453.1,448.1,450.6,30328.674
1648868400000,450.6,451.0,446.4,449.5,26786.448
1648872000000,449.6,449.7,447.4,448.6,21072.92
1648875600000,448.7,450.5,448.1,450.4,23490.953
1648879200000,450.4,451.2,449.5,450.6,26524.174
1648882800000,450.6,451.0,448.9,450.5,29368.062
1648886400000,450.4,450.5,447.7,449.5,32099.444
1648890000000,449.4,450.1,448.3,449.9,21094.224
1648893600000,450.0,450.5,447.9,450.4,21393.293
1648897200000,450.4,450.5,448.2,448.3,20065.719
