unix,open,high,low,close,volume
1648656000000,3382.62,3404.93,3374.54,3395.38,16686.7972
1648659600000,3395.37,3439.6,3389.36,3437.09,21060.239
1648663200000,3437.09,3446.9,3395.02,3396.66,17658.5249
1648666800000,3396.66,3396.69,3372.51,3395.1,16477.3474
1648670400000,3395.1,3413.99,3386.51,3413.38,10418.3253
1648674000000,3413.38,3414.99,3382.19,3388.05,8272.1558
1648677600000,3388.05,3396.14,3371.12,3389.62,11145.821
1648681200000,3389.62,3395.0,3377.0,3385.79,7845.6008
1648684800000,3385.8,3409.99,3378.0,3399.54,12926.4362
1648688400000,3399.54,3424.83,3399.53,3421.34,12163.8703
1648692000000,3421.33,3423.57,3402.73,3404.83,9780.0702
1648695600000,3404.83,3413.65,3389.8,3397.49,11692.2614
1648699200000,3397.42,3408.85,3388.77,3390.58,8973.845
1648702800000,3390.59,3403.94,3385.11,3394.11,11831.4985
1648706400000,3394.12,3404.9,3390.0,3400.39,7722.9549
1648710000000,3400.39,3404.5,3393.18,3403.13,8377.1429
1648713600000,3403.14,3413.85,3396.1,3407.33,11374.1303
1648717200000,3407.34,3423.68,3399.14,3418.45,12151.6562
1648720800000,3418.44,3428.0,3410.98,3416.99,14324.7325
1648724400000,3416.98,3417.45,3400.0,3409.19,11029.4783
1648728000000,3409.19,3444.83,3403.34,3428.44,21529.0753
1648731600000,3428.44,3442.74,3378.22,3379.83,34054.9623
1648735200000,3379.83,3384.22,3335.6,3380.0,57301.2412
1648738800000,3380.01,3388.41,3345.86,3350.72,26237.0139
1648742400000,3350.72,3354.56,3267.27,3271.53,68896.4793
1648746000000,3271.53,3302.4,3266.22,3294.93,25947.8861
1648749600000,3294.93,3308.98,3261.35,3308.6,20701.5521
1648753200000,3308.6,3311.17,3282.12,3283.54,17919.3755
1648756800000,3283.55,3303.25,3279.01,3298.42,14686.5197
1648760400000,3298.41,3305.55,3287.22,3287.23,7126.1722
1648764000000,3287.23,3292.12,3273.34,3289.73,13825.1757
1648767600000,3289.73,3296.73,3262.89,3281.51,14517.7095
1648771200000,3281.51,3308.67,3272.47,3300.98,17389.6189
1648774800000,3300.97,3300.98,3247.76,3256.98,26577.4276
1648778400000,3256.99,3263.4,3210.68,3225.93,38475.0941
1648782000000,3225.93,3250.61,3218.59,3250.29,19171.7963
1648785600000,3250.29,3258.76,3246.75,3247.33,15446.2725
1648789200000,3247.33,3265.82,3242.95,3251.01,12539.2029
1648792800000,3251.01,3265.27,3245.0,3263.33,14058.8521
1648796400000,3263.32,3282.13,3261.49,3279.41,15127.0016
1648800000000,3279.41,3294.52,3277.06,3279.61,18495.4648
1648803600000,3279.61,3285.6,3268.69,3273.04,12178.5511
1648807200000,3273.04,3284.49,3268.0,3283.95,9467.2072
1648810800000,3283.96,3303.69,3279.65,3284.96,17719.7697
1648814400000,3284.96,3313.66,3262.22,3308.44,36396.1462
1648818000000,3308.43,3367.23,3308.05,3349.21,48596.8897
1648821600000,3349.21,3424.73,3348.71,3422.08,48971.5268
1648825200000,3422.07,3454.36,3414.58,3432.4,51749.306
1648828800000,3432.39,3446.0,3408.58,3409.37,28316.5142
1648832400000,3409.37,3474.84,3404.51,3469.71,30240.9517
1648836000000,3469.71,3481.29,3446.03,3464.0,20766.637
1648839600000,3464.01,3470.94,3445.5,3469.66,12484.9015
1648843200000,3469.66,3472.52,3437.54,3441.12,11097.3111
1648846800000,3441.13,3461.38,3440.41,3451.29,6813.3926
1648850400000,3451.29,3457.81,3431.93,3451.31,10790.4738
1648854000000,3451.3,3456.4,3426.41,3455.21,9298.9298
1648857600000,3455.2,3525.13,3438.78,3511.33,49566.4159
